class,pairs,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17
1,qid:138,0,1,0,0,1,6,0,0,1,0,4,13,0,6,2,1.2,2
0,qid:138,5,0,0,0,2,2,0,0,3,0,6,20,2,9,2,1.9,3
0,qid:139,0,0,0,0,0,0,0,1,1,4,3,16,7,7,0,2.1,2
1,qid:139,1,0,1,1,0,2,0,0,0,1,4,12,2,5,1,1.6,2
1,qid:140,1,0,0,1,1,1,0,0,0,5,6,17,2,6,1,1,1
0,qid:140,2,0,2,1,0,0,0,1,1,1,5,16,2,6,1,1.8,3
1,qid:141,2,0,0,0,1,1,0,0,1,0,4,10,1,4,1,2,2
0,qid:141,0,0,2,0,1,2,0,0,0,2,5,19,6,8,3,2.8,4
0,qid:142,1,0,2,1,2,1,0,0,1,1,8,21,4,8,5,1.6,2
1,qid:142,3,0,0,0,0,1,0,0,0,3,3,11,1,5,1,1.4,2
0,qid:143,3,0,0,0,1,2,0,0,1,4,5,17,1,6,2,1.7,2
1,qid:143,0,0,0,0,1,0,0,0,0,1,4,8,2,2,1,1,1
0,qid:144,0,0,0,0,1,4,0,1,0,0,3,9,0,2,1,1.5,2
1,qid:144,0,0,1,2,0,3,0,0,1,3,6,18,1,8,3,3.4,4
0,qid:145,1,0,0,0,1,6,0,0,0,1,9,21,2,8,1,2.5,4
1,qid:145,3,0,0,0,0,2,0,0,0,1,5,13,1,4,1,1.3,2
1,qid:146,1,0,0,1,0,5,0,0,0,0,5,12,0,4,1,2.5,4
0,qid:146,3,0,0,0,0,7,0,0,0,1,6,17,0,5,1,2.4,3
1,qid:147,0,0,0,0,3,5,0,1,0,2,7,21,2,8,2,2.3,2
0,qid:147,1,0,0,1,3,4,0,3,0,0,7,20,1,10,1,2.9,4
0,qid:148,0,0,0,0,2,3,0,1,1,2,7,18,2,6,3,1.5,2
1,qid:148,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0
1,qid:149,1,0,0,1,1,6,0,0,0,0,8,19,2,9,4,2.3,3
0,qid:149,2,0,0,0,0,6,0,0,1,0,9,19,1,8,2,1.3,2
1,qid:150,0,0,0,0,3,4,0,0,0,0,5,12,0,5,3,2,3
0,qid:150,0,0,0,0,2,5,0,2,1,2,5,20,2,8,0,2.1,4
0,qid:151,1,0,0,0,1,4,0,1,0,1,4,12,0,4,3,1.3,2
1,qid:151,1,1,1,1,1,2,0,0,0,1,6,16,1,7,4,1.7,2
0,qid:152,1,1,0,0,3,3,0,0,0,1,5,14,0,5,2,1.8,3
1,qid:152,3,1,0,0,1,2,0,0,0,0,4,11,0,3,1,1.3,2
1,qid:153,1,0,0,1,0,2,0,0,0,1,3,8,0,2,1,1.5,2
0,qid:153,0,0,0,0,2,2,1,0,0,0,4,9,0,3,2,1.7,2
0,qid:154,0,0,0,1,3,1,0,0,0,0,6,11,0,4,2,1.8,2
1,qid:154,0,0,0,0,2,2,0,0,0,0,2,6,0,3,2,1.7,2
1,qid:155,0,0,0,3,1,0,0,0,0,0,6,10,0,3,2,1.3,2
0,qid:155,1,0,1,2,1,1,0,0,0,0,5,14,3,4,1,1.3,2
1,qid:156,0,0,0,2,1,1,0,0,1,0,2,7,0,3,1,2,3
0,qid:156,0,0,0,0,2,3,0,0,0,1,5,13,2,5,1,2.8,4
1,qid:157,0,0,0,0,0,3,0,0,0,0,4,7,0,2,1,1,1
0,qid:157,2,1,0,0,3,5,0,1,0,0,8,22,2,10,2,3,5
1,qid:158,0,0,0,0,1,1,0,0,0,0,2,4,0,1,1,1,1
0,qid:158,0,1,0,0,3,4,0,0,0,2,3,14,1,7,3,1.4,3
1,qid:159,0,0,0,1,2,4,0,0,0,2,5,16,1,6,3,2.3,4
0,qid:159,0,1,1,1,2,3,1,0,0,0,6,16,1,7,4,2.1,3
1,qid:160,0,0,0,1,3,2,0,1,0,2,3,12,0,4,3,1,1
